ref;day;month;year;lat;long
145365;1;4;2017;48.913729;2.543304
146485;2;4;2017;47.496504;0.578129
147027;2;4;2017;43.60971;3.496782
148144;2;4;2017;47.059708;6.609685
145296;3;4;2017;46.98156;-0.22302702
145051;4;4;2017;48.515846;2.521886
145550;4;4;2017;46.013786;6.1342816
146411;4;4;2017;46.54659161;0.40254593
145504;6;4;2017;48.950596;1.8131971
146861;6;4;2017;47.4058;0.600271
154975;7;4;2017;43.39425406;2.17803097
145832;8;4;2017;44.80255;-1.1341336
145545;9;4;2017;43.757261;7.217118
156056;9;4;2017;47.223341;6.067335
147029;10;4;2017;43.609703;3.4968455
148041;10;4;2017;44.902946;4.426546
145519;12;4;2017;43.21005;5.502048
149154;12;4;2017;46.25141;4.9572616
145553;14;4;2017;46.56876;0.30224457
157892;14;4;2017;47.235458;6.064129
144979;15;4;2017;42.99654;1.4102787
145654;15;4;2017;45.54822;4.922091
148234;15;4;2017;47.51876;6.8039446
148401;15;4;2017;45.85718003;3.51217447
148629;15;4;2017;49.114008;7.036731
145104;16;4;2017;45.39947;4.172399
145089;17;4;2017;48.120656;-1.631751
145446;17;4;2017;49.15415;1.1386356
147071;17;4;2017;45.176913;3.92362
146431;19;4;2017;47.764244;-3.2886531
144964;20;4;2017;48.85622;2.1725438
145211;20;4;2017;47.361034;-2.4341245
146592;20;4;2017;47.906387;-3.1297152
145396;21;4;2017;49.414831;1.207739
147051;21;4;2017;46.103695;3.542589
144963;23;4;2017;44.662315;-1.179143
146075;23;4;2017;46.668606;-1.413597
146372;23;4;2017;48.10983;5.1462007
149977;23;4;2017;49.27279;2.35352
146433;25;4;2017;47.76428;-3.2886546
147665;25;4;2017;42.802664;0.599245
147921;25;4;2017;49.393351;0.303749
144988;27;4;2017;47.741665;6.40717
150132;28;4;2017;47.68447;6.9447856
149142;29;4;2017;43.021008;1.339451
151205;29;4;2017;45.982504;4.714622
145394;30;4;2017;48.519165;1.9934723
145876;30;4;2017;47.304116;5.049081
145217;1;5;2017;45.691299;3.12857
146019;1;5;2017;49.01062;6.162669
146216;1;5;2017;48.547276;5.8436627
146902;1;5;2017;47.787098;7.255573
147125;1;5;2017;46.76006;2.3809729
148414;1;5;2017;48.638841;6.388356
148774;1;5;2017;49.11006;2.2387114
146100;2;5;2017;44.907894;2.3349304
